time,blocknumber,event,price,ETH_Pool,STETH_Pool,Volume
2021-02-22,11909508,TokenExchange,0.9931241472687043,127754.19039226849,135144.73449480266,5836.2457813368355
2021-02-23,11916445,RemoveLiquidityOne,0.9844106662614017,119080.5419848807,131611.2253210032,3395.214798206696
2021-02-24,11922864,RemoveLiquidityOne,0.9802549374827366,116057.40569395422,129957.90101435054,4143.073731544712
2021-02-25,11929329,AddLiquidity,0.9873288007515125,114355.53438073292,130025.28940548695,1819.8246879490619
2021-02-26,11935946,RemoveLiquidityOne,0.9876581865324684,111585.71420740988,126383.50850103046,1823.6895290948921
2021-02-27,11942491,AddLiquidity,0.9754416477698744,99365.48842113413,129246.6537635857,11477.004632502165
2021-02-28,11948914,AddLiquidity,0.9792739223571565,102073.9867895074,129358.8946475135,1124.237371769022
2021-03-01,11955402,TokenExchange,0.9783426865733152,102341.60489919464,129053.20543925426,1905.7633402909717
2021-03-02,11961975,AddLiquidity,0.9764325613988468,99293.08666848185,128857.54534087297,2914.878060502283
2021-03-03,11968374,TokenExchange,0.9734407059665592,98096.04317907272,130145.16277400892,3212.754001444685
2021-03-04,11974897,TokenExchange,0.967020938107434,90545.83391225162,129467.88374845208,6569.381981337224
2021-03-05,11981356,TokenExchange,0.965166802684821,85576.87013642417,124569.35136763922,6307.772821342597
2021-03-06,11987971,TokenExchange,0.9650266102322328,84341.7736982286,123170.97291192284,10956.611010163258
2021-03-07,11994408,TokenExchange,0.9568063731536528,78887.24641055406,123661.90288894274,3985.850278033542
2021-03-08,12000830,RemoveLiquidityOne,0.9738070026427122,81098.00948466254,108851.07447193684,8213.26041462478
2021-03-09,12007364,TokenExchange,0.9735832880936371,81421.91860805829,108934.0535169621,853.3199471115545
2021-03-10,12013892,RemoveLiquidityOne,0.9669206022570718,77185.56429407562,108936.98318899778,6728.3917183444855
2021-03-11,12020309,TokenExchange,0.9720088782162118,81124.26660327196,110533.4372254185,1307.118763670736
2021-03-12,12026806,AddLiquidity,0.972912046183533,83206.49941263624,110449.4448398503,4465.169273030245
2021-03-13,12033144,RemoveLiquidityOne,0.9780902812765295,86158.74744305729,110561.13620441682,2381.820858969781
2021-03-14,12039765,TokenExchange,0.975347289247328,85034.91658688453,111367.30733524985,3856.3869208882397
2021-03-15,12045825,AddLiquidity,0.9767326388883504,87287.03768412638,112796.92919980608,760.7693425840478
2021-03-16,12052565,RemoveLiquidityImbalance,0.9764988977728112,87718.08197813662,112828.2996741034,316.99884876059684
2021-03-17,12059264,RemoveLiquidityOne,0.9732301560020307,86721.38937841584,114703.6908644451,1100.56263971685
2021-03-18,12065744,TokenExchange,0.9732833465232263,86346.72454186277,114854.33543702491,912.3583035598002
2021-03-19,12072300,AddLiquidity,0.9727863776277531,86410.90215889095,114771.85418842845,3920.37512378322
2021-03-20,12078655,TokenExchange,0.9757109297450904,88016.96856379833,115052.35483983492,1288.2718240149024
