time,blocknumber,event,price,ETH_Pool,STETH_Pool,Volume
2021-01-05 11:00:00,11594223.0,AddLiquidity,,0.0,0.0,0.0
2021-01-05 12:00:00,11594427.0,TokenExchange,0.9958647397434444,,,0.0020917294794867997
2021-01-05 13:00:00,11594889.0,AddLiquidity,0.9958647397434444,35.07802508280852,35.08181692306402,0.0
2021-01-05 14:00:00,11595201.0,AddLiquidity,0.9958647397434444,3411.778675515441,3396.8824676401528,8.736321305891538
2021-01-05 15:00:00,11595464.0,AddLiquidity,0.9958647397434444,5398.775139803468,5443.889517533351,16.176184064090535
2021-01-05 16:00:00,11595721.0,AddLiquidity,1.001998644971626,5401.774889441563,5443.88946681711,75.06201495703311
2021-01-05 17:00:00,11595955.0,RemoveLiquidityOne,0.9984568432085593,5919.74097063244,5693.8504666932895,557.751280825308
2021-01-05 18:00:00,11596294.0,AddLiquidity,0.9935476318416284,5420.47642141277,5693.8504666932895,24.27239624485956
2021-01-05 19:00:00,11596538.0,TokenExchange,0.9912770416386754,5430.473481427015,5743.847500018993,13.11286624950316
2021-01-05 20:00:00,11596777.0,TokenExchange,0.9895767714360364,,,28.551762046358295
2021-01-05 21:00:00,11597111.0,AddLiquidity,0.9943241304950096,5585.378349845244,5769.637429061704,44.975609246818436
2021-01-05 22:00:00,11597392.0,TokenExchange,0.9936517042534768,,,14.989455717416448
2021-01-05 23:00:00,11597392.0,TokenExchange,0.9936517042534768,,,0.0
2021-01-06 00:00:00,11597832.0,AddLiquidity,0.9967869190074753,5607.885843248128,5811.187825593034,64.19622418985621
2021-01-06 01:00:00,11598002.0,AddLiquidity,0.9943177173936012,5607.879972192151,5931.181909491668,0.0
2021-01-06 02:00:00,11598370.0,AddLiquidity,0.9929790271110268,5639.879004658152,5918.900760113504,32.244903064300196
2021-01-06 03:00:00,11598705.0,TokenExchange,0.9864425884711544,5650.378469079345,5918.900220287927,191.7015998479308
2021-01-06 04:00:00,11598705.0,TokenExchange,0.9864425884711544,,,0.0
2021-01-06 05:00:00,11599082.0,AddLiquidity,0.9802291616704765,5460.826415390773,6100.89238030817,14.614199753638964
2021-01-06 06:00:00,11599403.0,AddLiquidity,0.9864425884711544,5488.874835644985,6103.392625644836,1.1982926756955266
2021-01-06 07:00:00,11599680.0,TokenExchange,0.9844868069929854,,,85.00731826683538
2021-01-06 08:00:00,11599888.0,AddLiquidity,0.986921710150179,5553.806334370608,6045.469835067638,6.091350436879553
2021-01-06 09:00:00,11599888.0,AddLiquidity,0.986921710150179,,,0.0
2021-01-06 10:00:00,11600473.0,AddLiquidity,0.9871979281830969,5553.90632919403,6045.4698298172125,9.543558534773094
2021-01-06 11:00:00,11600730.0,AddLiquidity,0.9792484765371804,5553.905374484632,6065.546915170353,178.71573294377038
2021-01-06 12:00:00,11601031.0,AddLiquidity,0.9857127304533668,5901.887544781636,6065.528606821458,0.9992740146769514
2021-01-06 13:00:00,11601304.0,AddLiquidity,0.9853664782044215,5825.523807784948,6292.718765613442,107.22219937009652
2021-01-06 14:00:00,11601304.0,AddLiquidity,0.9853664782044215,,,0.0
2021-01-06 15:00:00,11601304.0,AddLiquidity,0.9853664782044215,,,0.0
2021-01-06 16:00:00,11602103.0,AddLiquidity,0.9889052005107004,5885.5207101348005,6292.715630501137,0.0
2021-01-06 17:00:00,11602103.0,AddLiquidity,0.9889052005107004,,,0.0
2021-01-06 18:00:00,11602103.0,AddLiquidity,0.9889052005107004,,,0.0
2021-01-06 19:00:00,11603027.0,TokenExchange,0.9866302365046452,,,83.86357010289484
2021-01-06 20:00:00,11603368.0,TokenExchange,0.9853460264019998,,,8.0
2021-01-06 21:00:00,11603445.0,TokenExchange,0.9846689346479952,,,3.938675738591981
2021-01-06 22:00:00,11603800.0,AddLiquidity,0.9844248248302904,5815.717193079789,6378.655009515577,4.981935976927435
2021-01-06 23:00:00,11604105.0,AddLiquidity,0.9844248248302904,5825.717149772148,6388.708120504776,0.0
2021-01-07 00:00:00,11604105.0,AddLiquidity,0.9844248248302904,,,0.0
2021-01-07 01:00:00,11604480.0,TokenExchange,0.984592874935,,,0.0984592874935
2021-01-07 02:00:00,11604480.0,TokenExchange,0.984592874935,,,0.0
2021-01-07 03:00:00,11605217.0,TokenExchange,0.983829182790104,,,27.860569689559817
2021-01-07 04:00:00,11605217.0,TokenExchange,0.983829182790104,,,0.0
2021-01-07 05:00:00,11605217.0,TokenExchange,0.983829182790104,,,0.0
2021-01-07 06:00:00,11605872.0,TokenExchange,0.9828802298993512,,,3.9393514510053818
2021-01-07 07:00:00,11605872.0,TokenExchange,0.9828802298993512,,,0.0
2021-01-07 08:00:00,11606568.0,TokenExchange,0.9828511012980308,,,0.0755928200952098
2021-01-07 09:00:00,11606634.0,AddLiquidity,0.9842266895307565,5803.736259934452,6421.2106464495855,0.004787419759097529
2021-01-07 10:00:00,11607127.0,TokenExchange,0.9989165298738724,5803.746023953108,6426.210406430748,307.3481480142464
2021-01-07 11:00:00,11607347.0,AddLiquidity,0.9989165298738724,6108.750391501949,6138.8788236803975,0.0
2021-01-07 12:00:00,11607523.0,TokenExchange,0.9986744492795292,,,4.182245782336498
2021-01-07 13:00:00,11607815.0,TokenExchange,0.9983189626558724,,,8.582411117661854
2021-01-07 14:00:00,11608214.0,TokenExchange,0.9980323867724206,6145.983168354301,6202.076123148982,1.646753438174494
2021-01-07 15:00:00,11608390.0,TokenExchange,0.99387872310517,6045.908622667161,6254.325976515227,78.84114051117993
